regCP_STALLED_STAT2 reg:0x219e
regCP_BUSY_STAT reg:0x219f
regCP_STAT reg:0x21a0
regCP_ME_HEADER_DUMP reg:0x21a1
regCP_PFP_HEADER_DUMP reg:0x21a2
regCP_GRBM_FREE_COUNT reg:0x21a3
regCP_CE_HEADER_DUMP reg:0x21a4
regCP_PFP_INSTR_PNTR reg:0x21a5
regCP_ME_INSTR_PNTR reg:0x21a6
regCP_CE_INSTR_PNTR reg:0x21a7
regCP_MEC1_INSTR_PNTR reg:0x21a8
regCP_MEC2_INSTR_PNTR reg:0x21a9
regCP_CSF_STAT reg:0x21b4
regCP_ME_CNTL reg:0x21b6
regCP_CNTX_STAT reg:0x21b8
regCP_ME_PREEMPTION reg:0x21b9
regCP_ROQ_THRESHOLDS reg:0x21bc
regCP_MEQ_STQ_THRESHOLD reg:0x21bd
regCP_RB2_RPTR reg:0x21be
regCP_RB1_RPTR reg:0x21bf
regCP_RB0_RPTR reg:0x21c0
regCP_RB_RPTR reg:0x21c0
regCP_RB_WPTR_DELAY reg:0x21c1
regCP_RB_WPTR_POLL_CNTL reg:0x21c2
regCP_ROQ1_THRESHOLDS reg:0x21d5
regCP_ROQ2_THRESHOLDS reg:0x21d6
regCP_STQ_THRESHOLDS reg:0x21d7
regCP_QUEUE_THRESHOLDS reg:0x21d8
regCP_MEQ_THRESHOLDS reg:0x21d9
regCP_ROQ_AVAIL reg:0x21da
regCP_STQ_AVAIL reg:0x21db
regCP_ROQ2_AVAIL reg:0x21dc
regCP_MEQ_AVAIL reg:0x21dd
regCP_CMD_INDEX reg:0x21de
regCP_CMD_DATA reg:0x21df
regCP_ROQ_RB_STAT reg:0x21e0
regCP_ROQ_IB1_STAT reg:0x21e1
regCP_ROQ_IB2_STAT reg:0x21e2
regCP_STQ_STAT reg:0x21e3
regCP_STQ_WR_STAT reg:0x21e4
regCP_MEQ_STAT reg:0x21e5
regCP_CEQ1_AVAIL reg:0x21e6
regCP_CEQ2_AVAIL reg:0x21e7
regCP_CE_ROQ_RB_STAT reg:0x21e8
regCP_CE_ROQ_IB1_STAT reg:0x21e9
regCP_CE_ROQ_IB2_STAT reg:0x21ea
regCP_INT_STAT_DEBUG reg:0x21f7
regCP_DEBUG_CNTL reg:0x21f8
regCP_PRIV_VIOLATION_ADDR reg:0x21fa
regVGT_VTX_VECT_EJECT_REG reg:0x222c
regVGT_DMA_DATA_FIFO_DEPTH reg:0x222d
regVGT_DMA_REQ_FIFO_DEPTH reg:0x222e
regVGT_DRAW_INIT_FIFO_DEPTH reg:0x222f
regVGT_LAST_COPY_STATE reg:0x2230
regVGT_CACHE_INVALIDATION reg:0x2231
regVGT_RESET_DEBUG reg:0x2232
regVGT_STRMOUT_DELAY reg:0x2233
regVGT_FIFO_DEPTHS reg:0x2234
regVGT_GS_VERTEX_REUSE reg:0x2235
regVGT_MC_LAT_CNTL reg:0x2236
regIA_CNTL_STATUS reg:0x2237
regVGT_CNTL_STATUS reg:0x223c
regWD_CNTL_STATUS reg:0x223f
regCC_GC_PRIM_CONFIG reg:0x2240
regGC_USER_PRIM_CONFIG reg:0x2241
regWD_QOS reg:0x2242
regWD_UTCL1_CNTL reg:0x2243
regWD_UTCL1_STATUS reg:0x2244
regIA_UTCL1_CNTL reg:0x2246
regIA_UTCL1_STATUS reg:0x2247
regVGT_SYS_CONFIG reg:0x2263
regVGT_VS_MAX_WAVE_ID reg:0x2268
regVGT_GS_MAX_WAVE_ID reg:0x2269
regGFX_PIPE_CONTROL reg:0x226d
regCC_GC_SHADER_ARRAY_CONFIG reg:0x226f
regGC_USER_SHADER_ARRAY_CONFIG reg:0x2270
regVGT_DMA_PRIMITIVE_TYPE reg:0x2271
regVGT_DMA_CONTROL reg:0x2272
regVGT_DMA_LS_HS_CONFIG reg:0x2273
regWD_BUF_RESOURCE_1 reg:0x2276
regWD_BUF_RESOURCE_2 reg:0x2277
regPA_CL_CNTL_STATUS reg:0x2284
regPA_CL_ENHANCE reg:0x2285
regPA_CL_RESET_DEBUG reg:0x2286
regPA_SU_CNTL_STATUS reg:0x2294
regPA_SC_FIFO_DEPTH_CNTL reg:0x2295
regPA_SC_P3D_TRAP_SCREEN_HV_LOCK reg:0x22c0
regPA_SC_HP3D_TRAP_SCREEN_HV_LOCK reg:0x22c1
regPA_SC_TRAP_SCREEN_HV_LOCK reg:0x22c2
regPA_SC_FORCE_EOV_MAX_CNTS reg:0x22c9
regPA_SC_BINNER_EVENT_CNTL_0 reg:0x22cc
regPA_SC_BINNER_EVENT_CNTL_1 reg:0x22cd
regPA_SC_BINNER_EVENT_CNTL_2 reg:0x22ce
regPA_SC_BINNER_EVENT_CNTL_3 reg:0x22cf
